Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
2600367,2822435,jodidamente delicioso,restaurant,risk 2 (medium),chicago,il,out of business
2600362,2326452,blackwood bbq,restaurant,risk 1 (high),chicago,il,out of business
2600371,2632243,sunset pho caffe,restaurant,risk 1 (high),chicago,il,no entry
1575480,2219985,montessori acdy. inft/tod. cnt,daycare above and under 2 years,risk 1 (high),chicago,il,pass
2600357,2652370,hilltop family restaurant,restaurant,risk 1 (high),chicago,il,pass
1578668,21159,chicago busy burger,restaurant,risk 1 (high),chicago,il,fail
1578868,2385761,sheldon liquors,grocery store,risk 3 (low),chicago,il,pass
2535115,1095992,las islas marias,restaurant,risk 1 (high),chicago,il,pass
2600338,2862470,cafe 47,restaurant,risk 1 (high),chicago,il,no entry
1583354,2247234,"the green bean nursery, llc",children's services facility,risk 1 (high),chicago,il,pass
